MAGIC 	 int16
VERSION 	 int16
SAMPLING_RATE 	 float64
REPETITION_RATE 	 float64
HOLD_REPETITION_RATE 	 int16
CLOCK_SOURCE 	 int16
REFERENCE_SOURCE 	 int16
EXTERNAL_REFERENCE_TYPE 	 int16
REFERENCE_CLOCK_FREQUENCY_SELECTION 	 int16
REFERENCE_MULTIPLIER_RATE 	 int16
DIVIDER_RATE 	 int16
TRIGGER_SOURCE 	 int16
INTERNAL_TRIGGER_RATE 	 float64
TRIGGER_INPUT_IMPEDANCE 	 int16
TRIGGER_INPUT_SLOPE 	 int16
TRIGGER_INPUT_POLARITY 	 int16
TRIGGER_INPUT_THRESHOLD 	 float64
EVENT_INPUT_IMPEDANCE 	 int16
EVENT_INPUT_POLARITY 	 int16
EVENT_INPUT_THRESHOLD 	 float64
JUMP_TIMING 	 int16
INTERLEAVE 	 int16
ZEROING 	 int16
INTERLEAVE_ADJ_PHASE 	 float64
INTERLEAVE_ADJ_AMPLITUDE 	 float64
COUPLING 	 int16
RUN_MODE 	 int16
WAIT_VALUE 	 int16
RUN_STATE 	 int16
EVENT_JUMP_MODE 	 int16
TABLE_JUMP_STROBE 	 int16
TABLE_JUMP_DEFINITION 	 int32
DAC_RESOLUTION_1 	 int16
OUTPUT_WAVEFORM_NAME_1 	 WFM_name
CHANNEL_STATE_1 	 int16
ANALOG_DIRECT_OUTPUT_1 	 int16
ANALOG_FILTER_1 	 int16
ANALOG_METHOD_1 	 int16
ANALOG_AMPLITUDE_1 	 float64
ANALOG_OFFSET_1 	 float64
ANALOG_HIGH_1 	 float64
ANALOG_LOW_1 	 float64
MARKER1_SKEW_1 	 float64
MARKER1_METHOD_1 	 int16
MARKER1_AMPLITUDE_1 	 float64
MARKER1_OFFSET_1 	 float64
MARKER1_HIGH_1 	 float64
MARKER1_LOW_1 	 float64
MARKER2_SKEW_1 	 float64
MARKER2_METHOD_1 	 int16
MARKER2_AMPLITUDE_1 	 float64
MARKER2_OFFSET_1 	 float64
MARKER2_HIGH_1 	 float64
MARKER2_LOW_1 	 float64
DIGITAL_METHOD_1 	 int16
DIGITAL_AMPLITUDE_1 	 float64
DIGITAL_OFFSET_1 	 float64
DIGITAL_HIGH_1 	 float64
DIGITAL_LOW_1 	 float64
EXTERNAL_ADD_1 	 int16
PHASE_DELAY_INPUT_METHOD_1 	 int16
PHASE_1 	 float64
DELAY_IN_TIME_1 	 float64
DELAY_IN_POINTS_1 	 float64
CHANNEL_SKEW_1 	 float64
DAC_RESOLUTION_2 	 int16
CHANNEL_STATE_2 	 int16
ANALOG_DIRECT_OUTPUT_2 	 int16
ANALOG_FILTER_2 	 int16
